year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
2014,DK,48.77461877300378,1.4280083588162282,4.524567098868615,265635.7,129562.8,3793.3,0
2015,DK,44.52708188674948,-0.8950266906202583,-6.4549392263828835,272193.0,121199.6,-2436.2,0
2016,DK,41.752522717119476,0.3024107479103864,-2.7613952521295504,282265.1,117852.8,853.6,0
2017,DK,40.11856431859489,1.6890149649233068,0.20211653859729672,294355.0,118091.0,4971.7,0
2018,DK,38.465995143800704,0.8103853167243212,-1.9490901084756596,301017.3,115789.3,2439.4,0
2019,DK,38.30693750239024,4.282924242787628,2.07730766141605,308546.2,118194.6,13214.8,0
2020,DK,45.27760788137063,0.36252279984864716,19.565276247815056,312118.3,141319.7,1131.5,0
2021,DK,39.630815332808844,4.078134980704517,-3.721844866639268,343318.7,136060.0,14001.0,0
2022,DK,33.329304262712924,3.389306758984937,-6.776054681758048,380567.5,126840.5,12898.6,0
2023,DK,32.955184438453166,3.4301457932895323,-2.7837323252431156,374173.6,123309.6,12834.7,0
2024,DK,30.54820479468951,4.45870650620488,-2.788266282592766,392400.8,119871.4,17496.0,0
1996,EA19,73.5931238789603,-4.386716020444632,6.828009117003853,5987410.6,4406322.5,-262650.7,1
1997,EA19,73.09266130388816,-3.0930758037792088,1.7299006144012363,6132691.6,4482547.5,-189688.8,1
1998,EA19,72.76101923820096,-2.474745179479963,3.579395421911302,6381158.0,4642995.6,-157917.4,1
1999,EA19,71.77946002377706,-1.5473404057902997,3.303031344677576,6682072.0,4796355.2,-103394.4,0
2000,EA19,69.33287682831156,-1.3123481993616717,1.7213091307332729,7036943.4,4878915.3,-92349.2,0
2001,EA19,68.3197736880277,-2.0000858517194238,3.1818547864522317,7368518.7,5034155.3,-147376.7,0
2002,EA19,68.26113904274044,-2.7503915522332534,3.3205948175655253,7619736.9,5201319.2,-209572.6,1
2003,EA19,69.54526754857159,-3.1489192695008024,4.887300514069581,7844564.4,5455523.3,-247019.0,1
2004,EA19,69.84742921513516,-2.8854658982936736,4.730679089941736,8180124.4,5713606.6,-236034.7,1
2005,EA19,70.4743188749881,-2.6530683817182323,4.632490798368938,8482932.5,5978288.9,-225058.0,1
2006,EA19,68.4394352224586,-1.585745752305752,2.3524088974689716,8940638.8,6118922.7,-141775.8,0
2007,EA19,66.06663959497676,-0.7372602204972821,1.8834066983719255,9436179.8,6234166.9,-69569.2,0
2008,EA19,69.7384841392469,-2.259287148246605,8.189228940919113,9671413.4,6744697.1,-218505.0,1
2009,EA19,80.18762776036651,-6.2530707397205045,10.989593587531177,9335494.9,7485911.9,-583755.1,1
2010,EA19,85.58138776089511,-6.321069819148889,9.739733912711412,9599072.9,8215019.8,-606764.1,1
2011,EA19,87.38213596217157,-4.227741901687405,5.0397127466448755,9875054.1,8629033.2,-417491.8,1
2012,EA19,90.87235931384689,-3.860314878176129,4.3241379578885075,9906383.6,9002164.5,-382417.6,1
2013,EA19,92.82449400674015,-3.2015788903753495,3.2403307004665427,10012297.4,9293864.4,-320551.6,1
2014,EA19,92.98471960157799,-2.5168177419033957,2.5913558626915245,10254052.0,9534701.5,-258075.8,1
2015,EA19,91.05038564186879,-2.002790484012826,1.3782319247225505,10616222.8,9666111.8,-212620.7,1
2016,EA19,89.98687384398534,-1.4747963801597932,1.5191020240423736,10904868.1,9812949.9,-160824.6,1
2017,EA19,87.52949185339568,-1.0103639138674954,0.954592665351317,11318040.8,9906623.6,-114353.4,1
2018,EA19,85.59760927471974,-0.4488514625567956,1.0415435587963762,11694024.5,10009805.4,-52488.8,1
2019,EA19,83.6519960670664,-0.5409020797961106,0.9903659066139214,12084516.3,10108939.1,-65365.4,1
2020,EA19,96.5617234681952,-6.990802116809363,10.470991956020391,11565084.9,11167445.3,-808492.2,1
2021,EA19,93.88786956244988,-5.112608889136052,5.598072640660257,12560309.5,11792607.0,-642159.5,1
2022,EA19,89.41089376828084,-3.4102212783693853,3.7992252264490656,13690316.9,12240634.7,-466870.1,1
2023,EA19,87.09437955554053,-3.516479156884855,3.771171277580909,14584465.8,12702250.0,-512859.7,1
2024,EA19,87.24805344151379,-3.0698860016942557,4.029402664882209,15145409.3,13214074.8,-464946.8,1
1996,EA20,73.43735812451509,-4.388287099593356,6.837910565023875,6006587.4,4411079.1,-263586.3,1
1997,EA20,72.9256161711493,-3.0777049359340602,1.7397761014986246,6153972.0,4487822.0,-189401.1,1
1998,EA20,72.57926300614477,-2.468825372194328,3.5701571942915677,6404094.1,4648044.3,-158105.9,1
1999,EA20,71.63578016482025,-1.57115305581261,3.32624411518625,6704260.9,4802649.6,-105334.2,0
2000,EA20,69.22037565553445,-1.3374505996310668,1.763751409222114,7060574.8,4887356.4,-94431.7,0
2001,EA20,68.21079302487635,-2.0090621144197063,3.2013257719449184,7394455.3,5043816.6,-148559.2,0
